--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2026-04-07
Commit: f914b06aa67d742b65ba9cda6601f55c4a644d72

Go version: go1.26.0

CPU:
- arch: arm64
- physical cores: 4
- logical cores: 4

CPU features:
- SVE: true
- AES: true
- SHA1: true
- SHA2: true
- SHA512: true
- SHA3: true
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
go: downloading github.com/zeebo/blake3 v0.2.4
go: downloading golang.org/x/crypto v0.49.0
go: downloading lukechampine.com/blake3 v1.2.1
go: downloading github.com/klauspost/cpuid/v2 v2.3.0
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkMac/16KiB-HMAC-SHA2-256-4                 	  145220	      8211 ns/op	1995.41 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/16KiB-HMAC-SHA2-512-4                 	   89808	     13302 ns/op	1231.65 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/16KiB-SHA3-256-4                      	   33468	     35842 ns/op	 457.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-SHA3-512-4                      	   17814	     67336 ns/op	 243.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-SHAKE256-512-4                  	   33466	     35842 ns/op	 457.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-KMAC-128-4                      	   39860	     30038 ns/op	 545.45 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/16KiB-KMAC-256-4                      	   32599	     36741 ns/op	 445.94 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/16KiB-HMAC-SHA3-256-4                 	   32128	     37252 ns/op	 439.81 MB/s	     864 B/op	       5 allocs/op
BenchmarkMac/16KiB-HMAC-SHA3-512-4                 	   17538	     68395 ns/op	 239.55 MB/s	     736 B/op	       5 allocs/op
BenchmarkMac/16KiB-BLAKE3-256_zeebo-4              	   43154	     27773 ns/op	 589.94 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/16KiB-BLAKE3-512_zeebo-4              	   43005	     27859 ns/op	 588.11 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/16KiB-BLAKE3-256_lukechampine-4       	   35458	     33839 ns/op	 484.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-BLAKE3-512_lukechampine-4       	   35454	     33838 ns/op	 484.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-BLAKE2b-256-4                   	   54949	     21764 ns/op	 752.81 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/16KiB-BLAKE2s-256-4                   	   32355	     37018 ns/op	 442.60 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/16KiB-poly1305-4                      	  182949	      6556 ns/op	2499.06 MB/s	       0 B/op	       0 allocs/op
