go run -ldflags "-X main.GitCommit=ee1f1ca5fc08e31a4b37e4884936873de7d7482f" tools/system_info/main.go
--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2024-01-26
Commit: ee1f1ca5fc08e31a4b37e4884936873de7d7482f

Go version: go1.21.6

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 8

CPU features:
- AVX: true
- AVX2: true
- AVX512: false
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkKDF/32B-hkdf_sha256-8         	  501736	      2514 ns/op	  12.73 MB/s	    1297 B/op	      16 allocs/op
BenchmarkKDF/32B-zeebo_blake3_256-8    	  971852	      1100 ns/op	  29.08 MB/s	   10880 B/op	       1 allocs/op
BenchmarkKDF/32B-lukechampine_blake3_256-8         	 1000000	      1127 ns/op	  28.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkKDF/32B-chacha20-8                        	 3085866	       418.1 ns/op	  76.53 MB/s	     160 B/op	       1 allocs/op
BenchmarkKDF/32B-hkdf_sha2_512-8                   	  212330	      5446 ns/op	   5.88 MB/s	    2129 B/op	      16 allocs/op
BenchmarkKDF/32B-zeebo_blake3_512-8                	  869359	      1177 ns/op	  27.19 MB/s	   10880 B/op	       1 allocs/op
BenchmarkKDF/32B-lukechampine_blake3_512-8         	  888420	      1128 ns/op	  28.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkKDF/64B-hkdf_sha256-8                     	  476956	      2788 ns/op	  22.95 MB/s	    1297 B/op	      16 allocs/op
BenchmarkKDF/64B-zeebo_blake3_256-8                	  961000	      1129 ns/op	  56.69 MB/s	   10880 B/op	       1 allocs/op
BenchmarkKDF/64B-lukechampine_blake3_256-8         	 1000000	      1135 ns/op	  56.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkKDF/64B-chacha20-8                        	 2790549	       400.0 ns/op	 160.00 MB/s	     160 B/op	       1 allocs/op
BenchmarkKDF/64B-hkdf_sha2_512-8                   	  256798	      5585 ns/op	  11.46 MB/s	    2129 B/op	      16 allocs/op
BenchmarkKDF/64B-zeebo_blake3_512-8                	  990572	      1175 ns/op	  54.48 MB/s	   10880 B/op	       1 allocs/op
BenchmarkKDF/64B-lukechampine_blake3_512-8         	 1000000	      1129 ns/op	  56.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkKDF/128B-hkdf_sha256-8                    	  409918	      2533 ns/op	  50.53 MB/s	    1297 B/op	      16 allocs/op
