--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2026-04-07
Commit: f914b06aa67d742b65ba9cda6601f55c4a644d72

Go version: go1.26.0

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 16

CPU features:
- AVX: true
- AVX2: true
- AVX512: false
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- SHA-3: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
go: downloading github.com/zeebo/blake3 v0.2.4
go: downloading golang.org/x/crypto v0.49.0
go: downloading lukechampine.com/blake3 v1.2.1
go: downloading github.com/klauspost/cpuid/v2 v2.3.0
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 7763 64-Core Processor
BenchmarkMac/64B-HMAC-SHA3-512-4         	  563881	      2096 ns/op	  30.54 MB/s	     736 B/op	       5 allocs/op
BenchmarkMac/64B-BLAKE3-256_zeebo-4      	  900127	      1313 ns/op	  48.75 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-BLAKE3-512_zeebo-4      	  871317	      1289 ns/op	  49.63 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-BLAKE3-256_lukechampine-4         	 3075483	       384.5 ns/op	 166.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-BLAKE3-512_lukechampine-4         	 3075589	       390.3 ns/op	 163.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-BLAKE2b-256-4                     	 2785629	       418.9 ns/op	 152.80 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/64B-BLAKE2s-256-4                     	 3981850	       299.4 ns/op	 213.76 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/64B-poly1305-4                        	31627387	        37.24 ns/op	1718.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-HMAC-SHA2-256-4                  	  846850	      1217 ns/op	 841.42 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/1KiB-HMAC-SHA2-512-4                  	  404790	      2840 ns/op	 360.60 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/1KiB-SHA3-256-4                       	  360428	      3292 ns/op	 311.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-SHA3-512-4                       	  196064	      6119 ns/op	 167.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-SHAKE256-512-4                   	  365509	      3283 ns/op	 311.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-KMAC-128-4                       	  281792	      4099 ns/op	 249.79 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/1KiB-KMAC-256-4                       	  260618	      4507 ns/op	 227.22 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/1KiB-HMAC-SHA3-256-4                  	  232426	      5058 ns/op	 202.45 MB/s	     864 B/op	       5 allocs/op
BenchmarkMac/1KiB-HMAC-SHA3-512-4                  	  152781	      7760 ns/op	 131.96 MB/s	     736 B/op	       5 allocs/op
BenchmarkMac/1KiB-BLAKE3-256_zeebo-4               	  504502	      2339 ns/op	 437.74 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1KiB-BLAKE3-512_zeebo-4               	  540699	      2272 ns/op	 450.65 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1KiB-BLAKE3-256_lukechampine-4        	  540072	      2215 ns/op	 462.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-BLAKE3-512_lukechampine-4        	  539659	      2220 ns/op	 461.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-BLAKE2b-256-4                    	  720152	      1532 ns/op	 668.20 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/1KiB-BLAKE2s-256-4                    	  609426	      1896 ns/op	 539.96 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/1KiB-poly1305-4                       	 3332038	       359.8 ns/op	2845.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-HMAC-SHA2-256-4                 	  107860	     10945 ns/op	1497.00 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/16KiB-HMAC-SHA2-512-4                 	   46665	     25533 ns/op	 641.68 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/16KiB-SHA3-256-4                      	   24494	     49006 ns/op	 334.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-SHA3-512-4                      	   13028	     92378 ns/op	 177.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-SHAKE256-512-4                  	   24500	     48879 ns/op	 335.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-KMAC-128-4                      	   29073	     41055 ns/op	 399.07 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/16KiB-KMAC-256-4                      	   23841	     50527 ns/op	 324.26 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/16KiB-HMAC-SHA3-256-4                 	   22987	     51036 ns/op	 321.03 MB/s	     864 B/op	       5 allocs/op
BenchmarkMac/16KiB-HMAC-SHA3-512-4                 	   12789	     93745 ns/op	 174.77 MB/s	     736 B/op	       5 allocs/op
BenchmarkMac/16KiB-BLAKE3-256_zeebo-4              	  198822	      5980 ns/op	2739.74 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/16KiB-BLAKE3-512_zeebo-4              	  202194	      5848 ns/op	2801.54 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/16KiB-BLAKE3-256_lukechampine-4       	  163262	      7344 ns/op	2230.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-BLAKE3-512_lukechampine-4       	  163306	      7351 ns/op	2228.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-BLAKE2b-256-4                   	   58377	     20493 ns/op	 799.50 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/16KiB-BLAKE2s-256-4                   	   44012	     27230 ns/op	 601.70 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/16KiB-poly1305-4                      	  215986	      5548 ns/op	2953.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-HMAC-SHA2-256-4                 	   28518	     41919 ns/op	1563.40 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/64KiB-HMAC-SHA2-512-4                 	   12216	     98082 ns/op	 668.18 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/64KiB-SHA3-256-4                      	    5286	    194905 ns/op	 336.25 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-SHA3-512-4                      	    3274	    366047 ns/op	 179.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-SHAKE256-512-4                  	    6138	    195039 ns/op	 336.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-KMAC-128-4                      	    7435	    161098 ns/op	 406.81 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/64KiB-KMAC-256-4                      	    5997	    199703 ns/op	 328.17 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/64KiB-HMAC-SHA3-256-4                 	    5947	    197196 ns/op	 332.34 MB/s	     864 B/op	       5 allocs/op
BenchmarkMac/64KiB-HMAC-SHA3-512-4                 	    3230	    371359 ns/op	 176.48 MB/s	     736 B/op	       5 allocs/op
