--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2023-08-09

Go version: go1.21.0

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 8

CPU features:
- AVX: true
- AVX2: true
- AVX512: false
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkHashing/1GiB-sha256-8                         	       2	 588454202 ns/op	1824.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha256_simd-8                    	       2	 588423910 ns/op	1824.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2b_256-8                    	       1	1150411530 ns/op	 933.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2s_256-8                    	       1	1541414190 ns/op	 696.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha3-8                           	       1	2770649307 ns/op	 387.54 MB/s	     960 B/op	       4 allocs/op
BenchmarkHashing/1GiB-lukechampine_blake3_256-8        	       3	 439235227 ns/op	2444.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-zeebo_blake3_256-8               	       4	 283130640 ns/op	3792.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha2_512-8                       	       1	1372754269 ns/op	 782.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-blake2b_512-8                    	       1	1150060587 ns/op	 933.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-sha3_512-8                       	       1	5181520855 ns/op	 207.23 MB/s	    1024 B/op	       4 allocs/op
BenchmarkHashing/1GiB-lukechampine_blake3_512-8        	       3	 437765882 ns/op	2452.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkHashing/1GiB-zeebo_blake3_512-8               	       4	 287391846 ns/op	3736.16 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/hashing	227.107s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/checksum
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/checksum
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkChecksum/64B-crc32-8         	89744970	        12.55 ns/op	5100.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-crc64-8         	29224461	        42.09 ns/op	1520.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-xxh3-8          	144809798	         7.958 ns/op	8042.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-xxh3_128-8      	113468232	        10.22 ns/op	6265.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64B-xxhash-8        	113466564	        10.21 ns/op	6266.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-crc32-8        	15970206	        77.31 ns/op	13244.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-crc64-8        	 2184818	       549.1 ns/op	1864.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-xxh3-8         	34548536	        34.11 ns/op	30024.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-xxh3_128-8     	34103688	        36.04 ns/op	28414.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1KiB-xxhash-8       	34187894	        35.65 ns/op	28720.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-crc32-8       	 1004359	      1146 ns/op	14301.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-crc64-8       	  138606	      8565 ns/op	1913.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-xxh3-8        	 3858108	       287.6 ns/op	56974.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-xxh3_128-8    	 3964123	       289.7 ns/op	56555.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/16KiB-xxhash-8      	 3877108	       280.9 ns/op	58320.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-crc32-8       	  258073	      4565 ns/op	14355.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-crc64-8       	   33183	     34525 ns/op	1898.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-xxh3-8        	 1103628	      1116 ns/op	58748.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-xxh3_128-8    	 1099891	      1121 ns/op	58449.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/64KiB-xxhash-8      	 1043113	      1125 ns/op	58270.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-crc32-8        	   16264	     73053 ns/op	14353.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-crc64-8        	    2131	    555243 ns/op	1888.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-xxh3-8         	   58656	     17952 ns/op	58408.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-xxh3_128-8     	   58488	     17980 ns/op	58318.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1MiB-xxhash-8       	   56618	     18351 ns/op	57140.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-crc32-8       	    1666	    712226 ns/op	14722.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-crc64-8       	     219	   5453352 ns/op	1922.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-xxh3-8        	    6582	    185559 ns/op	56508.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-xxh3_128-8    	    6798	    177995 ns/op	58910.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/10MiB-xxhash-8      	    6260	    177472 ns/op	59083.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-crc32-8        	      15	  77571213 ns/op	13842.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-crc64-8        	       2	 557860646 ns/op	1924.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-xxh3-8         	      28	  41266269 ns/op	26019.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-xxh3_128-8     	      28	  40845448 ns/op	26287.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkChecksum/1GiB-xxhash-8       	      27	  41699459 ns/op	25749.54 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/checksum	83.894s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/chunking
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/chunking
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkChunking/64B-jotfs_fastcdc-8         	   10000	    149712 ns/op	   0.43 MB/s	  524452 B/op	       3 allocs/op
BenchmarkChunking/64B-tigerwill90_fastcdc-8   	    6975	    183161 ns/op	   0.35 MB/s	  459028 B/op	       6 allocs/op
BenchmarkChunking/64B-restic_chunker-8        	     912	   1432690 ns/op	   0.04 MB/s	 8917833 B/op	       4 allocs/op
BenchmarkChunking/1KiB-jotfs_fastcdc-8        	    8078	    136471 ns/op	   7.50 MB/s	  524453 B/op	       3 allocs/op
BenchmarkChunking/1KiB-tigerwill90_fastcdc-8  	   10538	    159922 ns/op	   6.40 MB/s	  459028 B/op	       6 allocs/op
BenchmarkChunking/1KiB-restic_chunker-8       	     848	   1338079 ns/op	   0.77 MB/s	 8917831 B/op	       4 allocs/op
BenchmarkChunking/16KiB-jotfs_fastcdc-8       	    8928	    211670 ns/op	  77.40 MB/s	  524452 B/op	       3 allocs/op
BenchmarkChunking/16KiB-tigerwill90_fastcdc-8 	    6932	    199789 ns/op	  82.01 MB/s	  459028 B/op	       6 allocs/op
BenchmarkChunking/16KiB-restic_chunker-8      	     795	   1446601 ns/op	  11.33 MB/s	 8917834 B/op	       4 allocs/op
BenchmarkChunking/64KiB-jotfs_fastcdc-8       	    4071	    270537 ns/op	 242.24 MB/s	  524452 B/op	       3 allocs/op
