--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2023-08-09

Go version: go1.21.0

CPU:
- arch: arm64
- physical cores: 8
- logical cores: 8

CPU features:
- SVE: false
- AES: true
- SHA1: true
- SHA2: true
- SHA512: false
- SHA3: false
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkChunking/64B-jotfs_fastcdc-8         	   19165	     61207 ns/op	   1.05 MB/s	  524452 B/op	       3 allocs/op
BenchmarkChunking/64B-tigerwill90_fastcdc-8   	   23538	     56120 ns/op	   1.14 MB/s	  459027 B/op	       6 allocs/op
BenchmarkChunking/64B-restic_chunker-8        	    1978	    532121 ns/op	   0.12 MB/s	 8917826 B/op	       4 allocs/op
BenchmarkChunking/1KiB-jotfs_fastcdc-8        	   20071	     60002 ns/op	  17.07 MB/s	  524452 B/op	       3 allocs/op
BenchmarkChunking/1KiB-tigerwill90_fastcdc-8  	   18174	     64872 ns/op	  15.78 MB/s	  459026 B/op	       6 allocs/op
BenchmarkChunking/1KiB-restic_chunker-8       	    1623	    869759 ns/op	   1.18 MB/s	 8917823 B/op	       4 allocs/op
BenchmarkChunking/16KiB-jotfs_fastcdc-8       	   17772	     73127 ns/op	 224.05 MB/s	  524451 B/op	       3 allocs/op
BenchmarkChunking/16KiB-tigerwill90_fastcdc-8 	   16077	     78688 ns/op	 208.22 MB/s	  459026 B/op	       6 allocs/op
BenchmarkChunking/16KiB-restic_chunker-8      	    1430	    870815 ns/op	  18.81 MB/s	 8917821 B/op	       4 allocs/op
BenchmarkChunking/64KiB-jotfs_fastcdc-8       	    6867	    167214 ns/op	 391.93 MB/s	  524452 B/op	       3 allocs/op
BenchmarkChunking/64KiB-tigerwill90_fastcdc-8 	   10752	     95448 ns/op	 686.61 MB/s	  459026 B/op	       6 allocs/op
BenchmarkChunking/64KiB-restic_chunker-8      	    1446	    846705 ns/op	  77.40 MB/s	 8917823 B/op	       4 allocs/op
BenchmarkChunking/1MiB-jotfs_fastcdc-8        	     858	   1381929 ns/op	 758.78 MB/s	  524449 B/op	       3 allocs/op
BenchmarkChunking/1MiB-tigerwill90_fastcdc-8  	    1191	   1024256 ns/op	1023.74 MB/s	  459265 B/op	      11 allocs/op
BenchmarkChunking/1MiB-restic_chunker-8       	     588	   2179877 ns/op	 481.03 MB/s	 8917814 B/op	       4 allocs/op
BenchmarkChunking/10MiB-jotfs_fastcdc-8       	      92	  12607333 ns/op	 831.72 MB/s	  524448 B/op	       3 allocs/op
BenchmarkChunking/10MiB-tigerwill90_fastcdc-8 	     144	   8615043 ns/op	1217.15 MB/s	  461568 B/op	      59 allocs/op
BenchmarkChunking/10MiB-restic_chunker-8      	      58	  20369163 ns/op	 514.79 MB/s	 8917809 B/op	       4 allocs/op
BenchmarkChunking/1GiB-jotfs_fastcdc-8        	       1	1260231503 ns/op	 852.02 MB/s	  524448 B/op	       3 allocs/op
