go run -ldflags "-X main.GitCommit=3ed0f8babee4197676b9947836e501a41aaaf727" tools/system_info/main.go
--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2024-01-20
Commit: 3ed0f8babee4197676b9947836e501a41aaaf727

Go version: go1.21.6

CPU:
- arch: arm64
- physical cores: 16
- logical cores: 16

CPU features:
- SVE: true
- AES: true
- SHA1: true
- SHA2: true
- SHA512: true
- SHA3: true
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkMac/64B-poly1305-16                 	23214999	        51.60 ns/op	1240.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-sha2_512-16                 	  996582	      1151 ns/op	  55.62 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/64B-zeebo_blake3_512-16         	  963104	      1297 ns/op	  49.33 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64B-lukechampine_blake3_512-16  	 1756524	       683.6 ns/op	  93.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64B-sha3_512-16                 	  495660	      2330 ns/op	  27.46 MB/s	    2048 B/op	       7 allocs/op
BenchmarkMac/1KiB-sha256-16                  	  931338	      1239 ns/op	 826.45 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/1KiB-zeebo_blake3_256-16        	  380161	      3118 ns/op	 328.37 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1KiB-lukechampine_blake3_256-16 	  406959	      2948 ns/op	 347.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-blake2b_256-16             	  552260	      2082 ns/op	 491.88 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/1KiB-blake2s_256-16             	  365578	      3247 ns/op	 315.34 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/1KiB-sha3-16                    	  227859	      5207 ns/op	 196.66 MB/s	    2176 B/op	       7 allocs/op
BenchmarkMac/1KiB-poly1305-16                	 2189678	       547.7 ns/op	1869.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-sha2_512-16                	  544024	      2137 ns/op	 479.11 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/1KiB-zeebo_blake3_512-16        	  377692	      3131 ns/op	 327.06 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1KiB-lukechampine_blake3_512-16 	  406514	      2948 ns/op	 347.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1KiB-sha3_512-16                	  160351	      7428 ns/op	 137.87 MB/s	    2048 B/op	       7 allocs/op
BenchmarkMac/16KiB-sha256-16                 	  111735	     10678 ns/op	1534.31 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/16KiB-zeebo_blake3_256-16       	   32616	     36717 ns/op	 446.22 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/16KiB-lukechampine_blake3_256-16         	   28635	     41919 ns/op	 390.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/16KiB-blake2b_256-16                     	   42723	     28012 ns/op	 584.88 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/16KiB-blake2s_256-16                     	   25113	     47764 ns/op	 343.02 MB/s	     192 B/op	       1 allocs/op
